player_cards,other_cards,played_cards,wait_time,model_name
"(1,)",1,(),1.0,CLAUDE35_SONNET
"(2,)",1,(),1.0,CLAUDE35_SONNET
"(3,)",1,(),3.0,CLAUDE35_SONNET
"(4,)",1,(),3.0,CLAUDE35_SONNET
"(5,)",1,(),5.0,CLAUDE35_SONNET
"(6,)",1,(),5.0,CLAUDE35_SONNET
"(7,)",1,(),5.0,CLAUDE35_SONNET
"(8,)",1,(),5.0,CLAUDE35_SONNET
"(9,)",1,(),5.0,CLAUDE35_SONNET
"(10,)",1,(),5.0,CLAUDE35_SONNET
"(11,)",1,(),7.0,CLAUDE35_SONNET
"(12,)",1,(),8.0,CLAUDE35_SONNET
"(13,)",1,(),8.0,CLAUDE35_SONNET
"(14,)",1,(),7.0,CLAUDE35_SONNET
"(15,)",1,(),12.0,CLAUDE35_SONNET
"(16,)",1,(),8.0,CLAUDE35_SONNET
"(17,)",1,(),8.0,CLAUDE35_SONNET
"(18,)",1,(),13.0,CLAUDE35_SONNET
"(19,)",1,(),10.0,CLAUDE35_SONNET
"(20,)",1,(),10.0,CLAUDE35_SONNET
"(21,)",1,(),12.0,CLAUDE35_SONNET
"(22,)",1,(),10.0,CLAUDE35_SONNET
"(23,)",1,(),15.0,CLAUDE35_SONNET
"(24,)",1,(),12.0,CLAUDE35_SONNET
"(25,)",1,(),15.0,CLAUDE35_SONNET
"(26,)",1,(),15.0,CLAUDE35_SONNET
"(27,)",1,(),15.0,CLAUDE35_SONNET
"(28,)",1,(),10.0,CLAUDE35_SONNET
"(29,)",1,(),15.0,CLAUDE35_SONNET
"(30,)",1,(),15.0,CLAUDE35_SONNET
"(31,)",1,(),15.0,CLAUDE35_SONNET
"(32,)",1,(),20.0,CLAUDE35_SONNET
"(33,)",1,(),20.0,CLAUDE35_SONNET
"(34,)",1,(),15.0,CLAUDE35_SONNET
"(35,)",1,(),15.0,CLAUDE35_SONNET
"(36,)",1,(),15.0,CLAUDE35_SONNET
"(37,)",1,(),15.0,CLAUDE35_SONNET
"(38,)",1,(),20.0,CLAUDE35_SONNET
"(39,)",1,(),20.0,CLAUDE35_SONNET
"(40,)",1,(),15.0,CLAUDE35_SONNET
"(41,)",1,(),15.0,CLAUDE35_SONNET
"(42,)",1,(),20.0,CLAUDE35_SONNET
"(43,)",1,(),20.0,CLAUDE35_SONNET
"(44,)",1,(),20.0,CLAUDE35_SONNET
"(45,)",1,(),20.0,CLAUDE35_SONNET
"(46,)",1,(),23.0,CLAUDE35_SONNET
"(47,)",1,(),23.0,CLAUDE35_SONNET
"(48,)",1,(),20.0,CLAUDE35_SONNET
"(49,)",1,(),20.0,CLAUDE35_SONNET
"(50,)",1,(),15.0,CLAUDE35_SONNET
"(51,)",1,(),25.0,CLAUDE35_SONNET
"(52,)",1,(),15.0,CLAUDE35_SONNET
"(53,)",1,(),26.0,CLAUDE35_SONNET
"(54,)",1,(),27.0,CLAUDE35_SONNET
"(55,)",1,(),30.0,CLAUDE35_SONNET
"(56,)",1,(),28.0,CLAUDE35_SONNET
"(57,)",1,(),25.0,CLAUDE35_SONNET
"(58,)",1,(),30.0,CLAUDE35_SONNET
"(59,)",1,(),30.0,CLAUDE35_SONNET
"(60,)",1,(),30.0,CLAUDE35_SONNET
"(61,)",1,(),20.0,CLAUDE35_SONNET
"(62,)",1,(),31.0,CLAUDE35_SONNET
"(63,)",1,(),30.0,CLAUDE35_SONNET
"(64,)",1,(),30.0,CLAUDE35_SONNET
"(65,)",1,(),30.0,CLAUDE35_SONNET
"(66,)",1,(),30.0,CLAUDE35_SONNET
"(67,)",1,(),20.0,CLAUDE35_SONNET
"(68,)",1,(),20.0,CLAUDE35_SONNET
"(69,)",1,(),30.0,CLAUDE35_SONNET
"(70,)",1,(),35.0,CLAUDE35_SONNET
"(71,)",1,(),35.0,CLAUDE35_SONNET
"(72,)",1,(),45.0,CLAUDE35_SONNET
"(73,)",1,(),40.0,CLAUDE35_SONNET
"(74,)",1,(),30.0,CLAUDE35_SONNET
"(75,)",1,(),30.0,CLAUDE35_SONNET
"(76,)",1,(),30.0,CLAUDE35_SONNET
"(77,)",1,(),46.0,CLAUDE35_SONNET
"(78,)",1,(),30.0,CLAUDE35_SONNET
"(79,)",1,(),30.0,CLAUDE35_SONNET
"(80,)",1,(),40.0,CLAUDE35_SONNET
"(81,)",1,(),60.0,CLAUDE35_SONNET
"(82,)",1,(),60.0,CLAUDE35_SONNET
"(83,)",1,(),60.0,CLAUDE35_SONNET
"(84,)",1,(),60.0,CLAUDE35_SONNET
"(85,)",1,(),60.0,CLAUDE35_SONNET
"(86,)",1,(),60.0,CLAUDE35_SONNET
"(87,)",1,(),60.0,CLAUDE35_SONNET
"(88,)",1,(),60.0,CLAUDE35_SONNET
"(89,)",1,(),60.0,CLAUDE35_SONNET
"(90,)",1,(),60.0,CLAUDE35_SONNET
"(91,)",1,(),60.0,CLAUDE35_SONNET
"(92,)",1,(),60.0,CLAUDE35_SONNET
"(93,)",1,(),60.0,CLAUDE35_SONNET
"(94,)",1,(),60.0,CLAUDE35_SONNET
"(95,)",1,(),45.0,CLAUDE35_SONNET
"(96,)",1,(),60.0,CLAUDE35_SONNET
"(97,)",1,(),60.0,CLAUDE35_SONNET
"(98,)",1,(),60.0,CLAUDE35_SONNET
"(99,)",1,(),60.0,CLAUDE35_SONNET
"(100,)",1,(),60.0,CLAUDE35_SONNET
