player_cards,other_cards,played_cards,wait_time,model_name
"(1,)",1,(),0.0,GPT4
"(2,)",1,(),0.0,GPT4
"(3,)",1,(),1.0,GPT4
"(4,)",1,(),0.0,GPT4
"(5,)",1,(),1.0,GPT4
"(6,)",1,(),2.0,GPT4
"(7,)",1,(),3.0,GPT4
"(8,)",1,(),2.0,GPT4
"(9,)",1,(),2.0,GPT4
"(10,)",1,(),2.0,GPT4
"(11,)",1,(),2.0,GPT4
"(12,)",1,(),3.0,GPT4
"(13,)",1,(),7.0,GPT4
"(14,)",1,(),14.0,GPT4
"(15,)",1,(),7.0,GPT4
"(16,)",1,(),16.0,GPT4
"(17,)",1,(),10.0,GPT4
"(18,)",1,(),10.0,GPT4
"(19,)",1,(),10.0,GPT4
"(20,)",1,(),10.0,GPT4
"(21,)",1,(),10.0,GPT4
"(22,)",1,(),15.0,GPT4
"(23,)",1,(),15.0,GPT4
"(24,)",1,(),12.0,GPT4
"(25,)",1,(),15.0,GPT4
"(26,)",1,(),13.0,GPT4
"(27,)",1,(),15.0,GPT4
"(28,)",1,(),14.0,GPT4
"(29,)",1,(),15.0,GPT4
"(30,)",1,(),15.0,GPT4
"(31,)",1,(),15.0,GPT4
"(32,)",1,(),15.0,GPT4
"(33,)",1,(),20.0,GPT4
"(34,)",1,(),20.0,GPT4
"(35,)",1,(),20.0,GPT4
"(36,)",1,(),20.0,GPT4
"(37,)",1,(),20.0,GPT4
"(38,)",1,(),20.0,GPT4
"(39,)",1,(),20.0,GPT4
"(40,)",1,(),20.0,GPT4
"(41,)",1,(),20.0,GPT4
"(42,)",1,(),30.0,GPT4
"(43,)",1,(),30.0,GPT4
"(44,)",1,(),22.0,GPT4
"(45,)",1,(),30.0,GPT4
"(46,)",1,(),23.0,GPT4
"(47,)",1,(),30.0,GPT4
"(48,)",1,(),24.0,GPT4
"(49,)",1,(),25.0,GPT4
"(50,)",1,(),25.0,GPT4
"(51,)",1,(),25.0,GPT4
"(52,)",1,(),26.0,GPT4
"(53,)",1,(),30.0,GPT4
"(54,)",1,(),27.0,GPT4
"(55,)",1,(),30.0,GPT4
"(56,)",1,(),30.0,GPT4
"(57,)",1,(),30.0,GPT4
"(58,)",1,(),30.0,GPT4
"(59,)",1,(),30.0,GPT4
"(60,)",1,(),30.0,GPT4
"(61,)",1,(),30.0,GPT4
"(62,)",1,(),31.0,GPT4
"(63,)",1,(),30.0,GPT4
"(64,)",1,(),32.0,GPT4
"(65,)",1,(),30.0,GPT4
"(66,)",1,(),30.0,GPT4
"(67,)",1,(),30.0,GPT4
"(68,)",1,(),34.0,GPT4
"(69,)",1,(),35.0,GPT4
"(70,)",1,(),35.0,GPT4
"(71,)",1,(),35.0,GPT4
"(72,)",1,(),35.0,GPT4
"(73,)",1,(),40.0,GPT4
"(74,)",1,(),37.0,GPT4
"(75,)",1,(),50.0,GPT4
"(76,)",1,(),30.0,GPT4
"(77,)",1,(),40.0,GPT4
"(78,)",1,(),70.0,GPT4
"(79,)",1,(),70.0,GPT4
"(80,)",1,(),60.0,GPT4
"(81,)",1,(),40.0,GPT4
"(82,)",1,(),40.0,GPT4
"(83,)",1,(),70.0,GPT4
"(84,)",1,(),80.0,GPT4
"(85,)",1,(),60.0,GPT4
"(86,)",1,(),60.0,GPT4
"(87,)",1,(),60.0,GPT4
"(88,)",1,(),80.0,GPT4
"(89,)",1,(),80.0,GPT4
"(90,)",1,(),80.0,GPT4
"(91,)",1,(),90.0,GPT4
"(92,)",1,(),80.0,GPT4
"(93,)",1,(),90.0,GPT4
"(94,)",1,(),90.0,GPT4
"(95,)",1,(),90.0,GPT4
"(96,)",1,(),90.0,GPT4
"(97,)",1,(),90.0,GPT4
"(98,)",1,(),90.0,GPT4
"(99,)",1,(),100.0,GPT4
"(100,)",1,(),90.0,GPT4
