player_cards,other_cards,played_cards,wait_time,model_name
"(4, 7)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 10)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(4, 13)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 16)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 19)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 22)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 25)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 28)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 31)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 34)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 37)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 40)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 43)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 46)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(4, 49)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 52)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 55)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 58)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 61)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 64)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 67)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 70)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 73)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 76)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 79)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 82)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 85)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 88)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 91)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 94)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 97)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(4, 100)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 10)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 13)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 16)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 19)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 22)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 25)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 28)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 31)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 34)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 37)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 40)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 43)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 46)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 49)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 52)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 55)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 58)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 61)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 64)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 67)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 70)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 73)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 76)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 79)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 82)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 85)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 88)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 91)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 94)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 97)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(7, 100)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 13)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 16)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 19)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 22)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 25)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 28)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 31)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 34)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 37)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 40)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(10, 43)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 46)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 49)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 52)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 55)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 58)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 61)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 64)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 67)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 70)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(10, 73)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 76)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 79)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 82)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 85)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 88)",3,"(1,)",2.0,QWEN_2.5_CODER_32B
"(10, 91)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 94)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 97)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(10, 100)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(13, 16)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(13, 19)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(13, 22)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(13, 25)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(13, 28)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
"(13, 31)",3,"(1,)",5.0,QWEN_2.5_CODER_32B
